FIELD	COUNT	DESC
Stranded_Rule_Code	1	Code for the strandedness rule used. 0 if data is unstranded, 1 if data is fr_firstStrand, 2 if data is fr_secondStrand.
READ_PAIR_OK	14449481	Number of reads or read-pairs that pass initial filters and are processed by QoRTs.
TOTAL_READ_PAIRS	17412443	Total number of reads or read-pairs found in the input file.
DROPPED_NOT_PROPER_PAIR	0	Number of reads or read-pairs dropped because the 'not proper pair' SAM flag is raised.
DROPPED_READ_FAILS_VENDOR_QC	0	Number of reads or read-pairs that have the 'failed vendor QC' SAM flag raised.
DROPPED_MARKED_NOT_VALID	0	Number of reads or read-pairs dropped because marked 'not valid'
DROPPED_CHROMS_MISMATCH	0	Number of read-pairs dropped because the paired reads align to different chromosomes
DROPPED_PAIR_STRANDS_MISMATCH	0	Number of read-pairs dropped because the paired reads align to inconsistent strands
DROPPED_IGNORED_CHROMOSOME	0	Number of reads or read-pairs dropped because they align to chromosomes marked for ignoring
DROPPED_NOT_UNIQUE_ALIGNMENT	2962962	Number of reads or read-pairs dropped because they are not uniquely aligned to single genomic locus
DROPPED_NO_ALN_BLOCKS	0	Number of reads or read-pairs dropped because they do not have any alignment blocks (despite being marked as aligned)
DROPPED_NOT_MARKED_RG	-1	Number of reads or read-pairs dropped because they are not in the correct read group (or -1 if read-group filtering is not on)
KEPT_NOT_UNIQUE_ALIGNMENT	0	Number of reads or read-pairs kept despite not being uniquely aligned.
minObservedReadLength	50	The base-pair length of the smallest read
maxObservedReadLength	50	The base-pair length of the largest read
maxLegalPhredScore	41	The largest observed PHRED score.
IS_SINGLE_END	0	0 if data is paired-ended, 1 if data is single-ended
PREALIGNMENT_READ_CT	-1	The number of reads found pre-alignment. Can be set using --seqReadCt or --rawfastq. -1 if unknown.
BENCHMARK_MinutesOnSamIteration	17.32	The number of minutes spent on the SAM iteration step.
BENCHMARK_MinutesPerMillionReads	0.99	The number of minutes per million reads spent on the SAM iteration step
BENCHMARK_MinutesPerMillionGoodReads	1.20	The number of minutes per million reads that passed the initial filtering step.
ReadPairs_AmbigGene	480025	Number of reads or read-pairs that map to a genomic area that includes regions covered by more than one gene.
ReadPairs_UniqueGene	3875270	Number of reads or read-pairs that map to a genomic area covered by exactly one gene
ReadPairs_UniqueGene_CDS	2368173	Number of reads or read-pairs that map to a genomic area covered by exactly one gene, and intersect at least partially with the coding region of that gene.
ReadPairs_UniqueGene_UTR	1507097	Number of reads or read-pairs that map to a genomic area covered by exactly one gene, but that only cover the UTR (non-coding) regions.
ReadPairs_NoGene	10094186	Number of reads or read-pairs that are not assigned to any gene.
ReadPairs_NoGene_Intron	6324140	Number of reads or read-pairs that are not assigned to any gene, and that occur within an intronic region of one or more genes.
ReadPairs_NoGene_OneKbFromGene	160271	Number of reads or read-pairs that are not assigned to any gene, and that are within 1kb from one or more genes.
ReadPairs_NoGene_TenKbFromGene	797558	Number of reads or read-pairs that are not assigned to any gene, and that are within 10kb from one or more genes.
ReadPairs_NoGene_MiddleOfNowhere	2812217	Number of reads or read-pairs that are not assigned to any gene, and that are more than 10kb from the nearest gene
Genes_Total	64252	Number of known genes
Genes_WithZeroCounts	27939	Number of genes with zero observed reads
Genes_WithNonzeroCounts	36313	Number of genes with 1 or more observed reads
InsertSizeCalc_Kept	14447782	Number of read-pairs that satisfied the filters needed to calculate insert size.
InsertSizeCalc_lt_readLen	1049	Number of read pairs with insert size less than the read length
InsertSizeCalc_eq_readLen	1679	Number of read pairs with insert size equal to the read length
InsertSizeCalc_readLen_to_2xreadLen	1565089	Number of read pairs with insert size greater than the read length but less than twice the read length
InsertSizeCalc_ge_2xreadLen	12879965	Number of read pairs greater than twice the read length
InsertSizeCalc_Drop_TOTAL	1699	Number of read-pairs for which insert size could not be successfully calculated
InsertSizeCalc_Drop_REASON1	0	Dropped because the forward read appears after the reverse read
InsertSizeCalc_Drop_REASON2	1698	Dropped because the paired reads have different splicing over the overlapped region
InsertSizeCalc_Drop_REASON3	1	Dropped because too many adaptor bases are aligned to the reference genome (indicating bad alignment)
AVG_GC_R1	0.46374554615797037	Average GC fraction for read 1
AVG_GC_R2	0.46819825821256206	Average GC fraction for read 2
AVG_GC	0.46597190218526624	Average GC fraction across all reads
AggregateGenes	60186	Number of aggregate genes
AggregateGenes_NoReads	25231	Number of aggregate genes with 0 observed reads
AggregateGenes_WithReads	34955	Number of aggregate genes with 1 or more observed reads
SpliceLoci	379064	Number of splice loci observed
SpliceLoci_Known	369079	Number of known splice loci
SpliceLoci_Known_NoReads	293085	Number of known splice loci with 0 observed reads
SpliceLoci_Known_FewReads	28067	Number of known splice loci with 1-3 observed reads
SpliceLoci_Known_ManyReads	47927	Number of known splice loci with 4+ observed reads
SpliceLoci_Novel	9985	Number of novel splice loci observed
SpliceLoci_Novel_FewReads	9492	Number of novel splice loci observed with 1-3 observed reads
SpliceLoci_Novel_ManyReads	493	Number of novel splice loci observed with 4+ observed reads
SpliceEvents	1009556	Number of observed splicing events (each read or read-pair that maps across a splice junction is a splice 'event')
SpliceEvents_KnownLoci	994085	Number of splice events covering known SJ loci
SpliceEvents_KnownLociWithFewReads	50702	Number of splice events covering low-coverage known SJ loci
SpliceEvents_KnownLociWithManyReads	943383	Number of splice events covering high-coverage known SJ loci
SpliceEvents_NovelLoci	15471	Number of splice events covering noverl SJ loci
SpliceEvents_NovelLociWithFewReads	12167	Number of splice events covering low-coverage novel SJ loci
SpliceEvents_NovelLociWithManyReads	3304	Number of splice events covering high-coverage novel SJ loci
StrandTest_frFirstStrand	3888046	Number of reads or read-pairs that match the fr_FirstStrand strandedness rule
StrandTest_frSecondStrand	212943	Number of reads or read-pairs that match the fr_secondstrand strandedness rule
StrandTest_ambig_genesFountOnBothStrands	176880	Number of reads or read-pairs where the strandedness is ambiguous due to there being genes on both strands
StrandTest_ambig_noGenes	10169555	Number of reads or read-pairs where the strandedness is ambiguous due to there being no known genes.
StrandTest_ambig_other	2057	Numebr of reads or read-pairs where the strandedness is ambiguous due to other reasons
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1	1 if the strandedness appears to match the strandedness mode, 0 otherwise.
NumberOfChromosomesCovered	482	Number of chromosomes with 1 or more aligned reads.
deletionLoci	19986	Number of observed deletion loci
insertionLoci	25203	Number of observed insertion loci
deletionEventCt	23277	Number of times deletions are observed in a read
insertionEventCt	30348	Number of times insertions are observed in a read
highCoverageDeletionLoci	71	Number of high-coverage deletion loci.
